,link,text,user,likes,quotes,retweets,comments
31,https://twitter.com/myogiadityanath/status/1802135741771792563#m,"मोक्षदायिनी, जीवनदायिनी, 'राष्ट्रीय नदी' माँ गंगा के अवतरण दिवस 'गंगा दशहरा' की प्रदेश वासियों व सभी श्रद्धालुओं को हार्दिक बधाई एवं शुभकामनाएं!  माँ गंगा की कृपा से सभी के जीवन में सुख, शांति, समृद्धि व आरोग्यता का वास हो, यही प्रार्थना है।  जय माँ गंगे!",Yogi Adityanath,16761,67,2788,630
32,https://twitter.com/myogiadityanath/status/1801915398771691893#m,उत्तराखंड के रुद्रप्रयाग में एक सड़क दुर्घटना में हुई जनहानि अत्यंत दुःखद व दुर्भाग्यपूर्ण है।  मेरी संवेदनाएं शोकाकुल परिजनों के साथ हैं।  प्रभु श्री राम से प्रार्थना है कि दिवंगत पुण्यात्माओं को सद्गति और घायलों को शीघ्र स्वास्थ्य लाभ प्रदान करें।,Yogi Adityanath,5239,24,877,231
33,https://twitter.com/myogiadityanath/status/1801889542938526176#m,"गोरखपुर के गौरव, शहीद अशफाक उल्ला खां प्राणि उद्यान के लिए आज का दिन ऐतिहासिक है। यहां शेर और शेरनी के आगमन से प्राणि उद्यान समृद्ध हुआ है। आज यहां 'हरिशंकरी' के पौधरोपण का भी विशेष अवसर मिला।  पर्यावरण और जैव विविधता के संरक्षण-संवर्धन के लिए डबल इंजन की सरकार पूर्ण प्रतिबद्ध…",Yogi Adityanath,9930,26,1675,275
34,https://twitter.com/myogiadityanath/status/1801807900463001767#m,"जनप्रिय राजनेता, माननीय केंद्रीय मंत्री श्री जी. किशन रेड्डी जी को जन्मदिन की हार्दिक बधाई!  भगवान तिरुपति बाला जी की कृपा से आपको सुदीर्घ एवं सुयशपूर्ण जीवन की प्राप्ति हो, यही प्रार्थना है।  @kishanreddybjp",Yogi Adityanath,5034,13,731,199
35,https://twitter.com/myogiadityanath/status/1801584180440223811#m,Heartfelt congratulations to Shri @PawanKalyan Ji on becoming the Deputy Chief Minister of Andhra Pradesh!  Wishing you a successful and impactful tenure ahead.,Yogi Adityanath,57024,154,10067,549
36,https://twitter.com/myogiadityanath/status/1801413296894959652#m,'विश्व रक्तदाता दिवस' की प्रदेश वासियों और सभी रक्तदाता बंधुओं को मेरी ओर से असीम शुभकामनाएं!  'रक्तदान' करके 'जीवनदान' का पुण्य लाभ प्राप्त होता है। इस ईश्वरीय कार्य के लिए हम सभी को सदैव तत्पर रहना चाहिए।,Yogi Adityanath,5816,18,1067,265
37,https://twitter.com/myogiadityanath/status/1801286737538302079#m,आदरणीय प्रधानमंत्री श्री @narendramodi जी के यशस्वी मार्गदर्शन में डबल इंजन की भाजपा सरकार में हर नागरिक का जीवन सुगम और सुविधा युक्त बन रहा है।  जनसेवा ही हमारा संस्कार और लोक-कल्याण ही हमारी प्रतिज्ञा है।  टीकमगढ़ वासियों को हार्दिक बधाई!,Yogi Adityanath,8206,20,1322,250
38,https://twitter.com/myogiadityanath/status/1801150780809834563#m,"Congratulations to Shri @PemaKhanduBJP Ji for taking oath as Chief minister and Shri @ChownaMeinBJP Ji as Deputy Chief Minister of Arunachal Pradesh!  I am confident that under the able guidance of Hon. PM Shri @narendramodi Ji and leadership of you both, the state will establish…",Yogi Adityanath,6031,15,844,173
39,https://twitter.com/myogiadityanath/status/1801070984243359810#m,"भाजपा परिवार के वरिष्ठ सदस्य, कुशल और लोकप्रिय राजनेता, माननीय केंद्रीय मंत्री श्री पीयूष गोयल जी को जन्मदिन की हार्दिक बधाई!  भगवान श्री गणेश से आपके लिए सुयशपूर्ण-सुदीर्घ जीवन और आरोग्यता की प्रार्थना है।  @PiyushGoyal",Yogi Adityanath,7354,18,976,307
40,https://twitter.com/myogiadityanath/status/1800889971580015009#m,"Congratulations to Shri @ncbn on taking oath as Chief Minister and to all the ministers sworn in today.  I am confident that under the able guidance of Hon. PM Shri @narendramodi Ji, both NDA governments will work towards the prosperity and betterment of the people of Andhra…",Yogi Adityanath,18397,14,2154,202
41,https://twitter.com/myogiadityanath/status/1800865035171901921#m,श्री @mohanmajhi_BJP जी को ओडिशा के मुख्यमंत्री पद एवं श्री @KVSinghDeo1 और श्रीमती @Pravatipridabjp जी को उप-मुख्यमंत्री पद की शपथ लेने पर हार्दिक बधाई!  पूर्ण विश्वास है कि आदरणीय प्रधानमंत्री श्री @narendramodi जी के यशस्वी मार्गदर्शन और आप सभी के कुशल नेतृत्व में महाप्रभु…,Yogi Adityanath,9070,18,1400,226
42,https://twitter.com/myogiadityanath/status/1800690785341612078#m,"वरिष्ठ भाजपा नेता, लोकप्रिय राजनेता, मध्य प्रदेश विधान सभा के माननीय अध्यक्ष श्री नरेन्द्र सिंह तोमर जी को जन्मदिन की हार्दिक बधाई!  बाबा महाकाल आपको उत्तम स्वास्थ्य, सुदीर्घ व सुयशपूर्ण जीवन प्रदान करें, यही प्रार्थना है।  @nstomar",Yogi Adityanath,8239,12,887,284
43,https://twitter.com/myogiadityanath/status/1800689829228998719#m,"बच्चे विकसित भारत का आधार हैं, उनके सर्वांगीण विकास में ही राष्ट्र का उत्कर्ष है।  आइए, आज 'विश्व बाल श्रम निषेध दिवस' के अवसर पर बाल श्रम के विरुद्ध जन-जागरूकता का संकल्प लें।  बाल अधिकारों की रक्षा, हमारी प्रतिबद्धता है।",Yogi Adityanath,6114,18,1154,294
44,https://twitter.com/myogiadityanath/status/1800326760548205019#m,"माँ भारती के अनन्य उपासक, 'काकोरी घटना' के नायक, अमर क्रांतिकारी पंडित राम प्रसाद बिस्मिल की जयंती पर उन्हें विनम्र श्रद्धांजलि!  आपकी राष्ट्र आराधना और अद्वितीय बलिदान के समक्ष हम सभी श्रद्धावनत हैं।",Yogi Adityanath,11087,45,2025,523
45,https://twitter.com/myogiadityanath/status/1800198830526275942#m,"आदरणीय प्रधानमंत्री श्री @narendramodi जी के नेतृत्व में नवगठित केंद्रीय मंत्रिपरिषद में सभी माननीय मंत्रीगण को आज मंत्रालय का दायित्व मिलने पर हार्दिक बधाई।  प्रधानमंत्री मोदी जी का यह तीसरा कार्यकाल, निःसंदेह 140 करोड़ भारतवासियों की आशाओं, अपेक्षाओं और आकांक्षाओं को पूर्णता…",Yogi Adityanath,8311,26,1313,338
46,https://twitter.com/myogiadityanath/status/1800189134578888756#m,आदरणीय प्रधानमंत्री श्री @narendramodi जी के युगांतरकारी नेतृत्व में देश के करोड़ों निर्धनों का 'अपना पक्का घर' का सपना साकार हो रहा है।  उसी शृंखला में आज प्रधानमंत्री जी के तीसरे कार्यकाल के केंद्रीय कैबिनेट की पहली बैठक में ही 'प्रधानमंत्री आवास योजना' के अंतर्गत देश में तीन…,Yogi Adityanath,9906,29,1550,359
47,https://twitter.com/narendramodi/status/1800087673396248742#m,देशभर के अपने किसान भाई-बहनों का जीवन आसान बनाने के लिए हमारी सरकार प्रतिबद्ध है। यह मेरे लिए सौभाग्य की बात है कि लगातार तीसरी बार प्रधानमंत्री के रूप में कार्यभार संभालने के बाद पहला काम उनके लिए ही करने का अवसर मिला है। इसके तहत पीएम किसान सम्मान निधि की 17वीं किस्त से जुड़ी…,Narendra Modi,166063,770,21389,7595
48,https://twitter.com/myogiadityanath/status/1800081172736721010#m,सभी कृषकों को हार्दिक बधाई!  तीसरे कार्यकाल के प्रथम दिवस का प्रथम निर्णय अन्नदाता किसान कल्याण को समर्पित!  आदरणीय प्रधानमंत्री श्री @narendramodi जी ने आज कार्यभार ग्रहण करते ही 'पीएम किसान सम्मान निधि' की 17वीं किस्त जारी करने हेतु फाइल पर हस्ताक्षर कर दिए हैं।  इस निर्णय से…,Yogi Adityanath,13930,34,2266,600
49,https://twitter.com/myogiadityanath/status/1800048918518243801#m,माननीय केंद्रीय मंत्री श्री @rajnathsingh जी से आज नई दिल्ली में शिष्टाचार भेंट कर उन्हें बधाई दी।  अपना अमूल्य समय प्रदान करने हेतु आपका हार्दिक आभार!,Yogi Adityanath,21539,37,2390,435
50,https://twitter.com/myogiadityanath/status/1800046469917163768#m,नई दिल्ली में आज माननीय केंद्रीय मंत्री श्री @nitin_gadkari जी से शिष्टाचार भेंट कर उन्हें बधाई दी।  अपना अमूल्य समय प्रदान करने हेतु आपका हार्दिक आभार!,Yogi Adityanath,22470,23,2211,301
51,https://twitter.com/myogiadityanath/status/1800044348245168612#m,माननीय केंद्रीय मंत्री श्री @AmitShah जी से आज नई दिल्ली में शिष्टाचार भेंट कर उन्हें बधाई दी।  अपना बहुमूल्य समय प्रदान करने हेतु आपका हार्दिक आभार!,Yogi Adityanath,42283,71,4185,710
52,https://twitter.com/narendramodi/status/1799863349888635112#m,एनडीए सरकार में मंत्री के रूप में शपथ लेने वाले सभी साथियों को बहुत-बहुत बधाई और शुभकामनाएं। मंत्रियों की इस टीम में युवा जोश और अनुभव का अद्भुत संगम है। हम सभी देशवासियों का जीवन बेहतर बनाने में कोई कोर-कसर बाकी नहीं रखेंगे।,Narendra Modi,14760,89,3607,870
53,https://twitter.com/narendramodi/status/1799863354347110677#m,मैं शपथ ग्रहण समारोह का हिस्सा बने दुनियाभर के गणमान्य अतिथियों का भी हृदय से आभारी हूं। विश्व बंधु के रूप में भारत सदैव अपने निकट साझेदारों के साथ मिलकर मानवता के हित में काम करता रहेगा।,Narendra Modi,12612,38,3309,366
54,https://twitter.com/narendramodi/status/1799863346084397324#m,"राष्ट्रपति भवन के प्रांगण में आज शाम हुए समारोह में मैंने प्रधानमंत्री पद की शपथ ली। मैं और मंत्रिपरिषद के मेरे सहयोगी, 140 करोड़ देशवासियों की सेवा करने और देश को विकास की नई ऊंचाइयों पर ले जाने के लिए प्रतिबद्ध हैं।",Narendra Modi,109035,624,16884,3647
55,https://twitter.com/myogiadityanath/status/1799858013903446122#m,उत्तर प्रदेश के अपर मुख्य सचिव गृह और पुलिस महानिदेशक को तत्काल स्थानीय प्रशासन से संपर्क कर प्रदेश के घायलों के समुचित उपचार और उनकी सुरक्षा सुनिश्चित कराने के निर्देश दिए हैं।,Yogi Adityanath,8177,7,1253,100
